url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_BiDcSX_11D,4409,7219,7219,13618,227009,111422,2042205,1310814,87,87,41,83,0,4,7219,7231,3313,3889,7172,24,0.015809798899999998,1760,1176,,,3312,7161,5,0,431,52005,4,1212297,33,95787,5,157453,16,0,0,434748,3,0,0,89915,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_BiDc8C_113,4440,6996,6996,13030,225629,112155,2030813,1455627,87,87,42,83,0,4,6996,7010,3067,3565,6964,24,0.016024976399999998,12651,1183,,,3067,6948,5,0,419,52999,4,1212297,33,87232,5,155759,16,0,0,434748,3,0,0,87778,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_BiDcX7_116,5745,8450,8450,15163,227321,117309,2030866,1298650,87,87,42,83,0,4,8450,8470,3580,4406,8411,23,0.0156662978,14731,1368,,,3578,8405,5,0,434,53039,4,1212297,33,87232,5,155759,16,0,0,434748,3,0,0,87791,25,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDcPE_119,5985,6725,6725,17527,700262,216128,2939592,1720005,282,282,80,222,0,60,6725,6888,3778,4256,6719,105,0.05001381590000001,1874,1274,,,3675,6712,14,0,412,58518,26,1951712,71,72441,14,386708,83,0,0,434748,3,0,0,35465,84,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_BiDcY9_11G,4176,5877,5877,12411,226844,101758,2042579,1310574,87,87,37,83,0,4,5877,5895,3125,3644,5834,24,0.0153094294,1651,1314,,,3124,5821,5,0,412,52007,4,1212297,33,95787,5,157453,16,0,0,434748,3,0,0,90287,25,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_AiDcND_11H,5801,7840,7840,17922,655411,306921,3614738,2398441,263,263,120,209,0,54,7840,7985,3407,3874,7815,82,0.0953262342,6184,1001,,,3301,7813,14,5,427,87586,27,2399294,80,93794,14,284356,59,0,0,714244,4,0,0,35464,78,
https://www.samsung.com/in/mobile/,https://www.webpagetest.org/results.php?test=230613_BiDc22_11R,7117,8420,8420,20955,694703,230125,2939431,1720384,279,279,82,221,0,58,8420,8609,4808,5464,8415,104,0.0494625179,2274,1402,,,4699,8405,14,0,489,58529,25,1951615,71,72441,14,386640,82,0,0,434748,3,0,0,35458,83,
https://www.samsung.com/in/live-offers/notify-me1/,https://www.webpagetest.org/results.php?test=230613_BiDcHD_118,6150,8328,8328,18701,643177,303554,3622477,2410543,257,257,116,209,0,48,8328,8488,3771,4227,8304,82,0.0953262342,6776,1279,,,3639,8290,14,5,492,87538,27,2399298,80,101579,14,284356,59,0,0,714244,4,0,0,35462,72,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc09_11M,18614,21489,21489,35943,810047,356854,3672151,2563156,300,300,118,242,0,58,21489,22247,6696,8216,18081,107,0.0725546883,2491,1455,29940,29940,5845,18075,8,1,425,130183,27,2571893,78,178767,8,292645,93,0,0,434748,3,0,0,63915,90,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_BiDc49_11A,4670,7434,7434,14533,227024,111428,2042210,1310821,87,87,41,83,0,4,7434,7449,3322,3914,7383,24,0.0153094294,1694,1207,,,3322,7372,5,0,413,52011,4,1212297,33,95787,5,157453,16,0,0,434748,3,0,0,89914,25,
https://www.samsung.com/in/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230613_BiDcW1_11J,4303,6173,6173,12850,227072,101965,2042195,1310184,87,87,37,83,0,4,6173,6184,3307,3985,6135,24,0.0153094294,1798,1420,,,3307,6127,5,0,422,52000,4,1212297,33,95787,5,157453,16,0,0,434748,3,0,0,89910,25,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_BiDc0N_11V,4856,7234,7234,13464,227306,115271,2039297,1304333,87,87,41,83,0,4,7234,7256,3130,3649,7216,24,0.016024976399999998,13210,1299,,,3130,7211,5,0,446,53031,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87675,25,
https://www.samsung.com/in/monitors/high-resolution/uhd-uj590-32-inch-lu32j590uqwxxl/,https://www.webpagetest.org/results.php?test=230613_BiDc48_114,18460,22815,22815,37121,809247,366538,3662630,2555980,298,298,121,241,0,57,22815,23432,7103,8570,19056,108,0.0725546883,3186,2095,29854,29854,6293,19054,8,1,662,130070,27,2571896,78,170212,8,292645,93,0,0,434748,3,0,0,63059,88,
https://www.samsung.com/in/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230613_BiDcMQ_11S,5403,7098,7098,14232,226388,99339,2039304,1303682,87,87,36,83,0,4,7098,7116,3193,3927,7069,24,0.0156662978,13716,1123,,,3193,7061,5,0,466,53043,4,1212297,33,95787,5,155759,16,0,0,434748,3,0,0,87670,25,
