url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230530_BiDcPK_5PS,7941,6760,6760,21001,554995,176941,3055133,1228040,213,213,67,184,0,29,6760,6834,3030,3574,6755,60,0.0139172815,2567,1300,,,3030,6750,12,0,751,61966,27,1923304,73,61269,13,549209,35,0,0,434748,3,0,0,24637,60,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_AiDcQR_5PH,9839,7995,7995,22236,617135,199899,2832392,1398873,231,231,72,190,0,41,7995,8073,4674,5168,7971,62,0.012946018,17048,1696,,,4671,7960,5,0,773,77596,27,2014117,70,94444,6,178695,43,0,0,434748,3,0,0,32792,81,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcVB_5Q0,9516,7428,7428,20973,651102,176996,2860258,1416147,235,235,62,194,0,41,7428,7507,3785,4287,7392,61,0.012946018,16356,1538,,,3785,7381,5,0,469,79230,27,2032029,71,94444,6,182563,46,0,0,434748,3,0,0,37244,81,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcA8_5Q8,9034,7231,7231,20459,618032,178256,2832371,1397231,231,231,62,190,0,41,7231,7306,4073,4505,7195,62,0.012946018,17498,1685,,,4073,7188,5,0,597,77629,27,2014026,70,94444,6,178737,43,0,0,434748,3,0,0,32787,81,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcV9_5Q2,8561,6968,6968,20652,616847,177053,2817799,1397209,231,231,62,190,0,41,6968,7046,3889,4335,6935,61,0.012946018,16458,1383,,,3882,6927,5,0,554,77609,27,1999554,70,94444,6,178653,43,0,0,434748,3,0,0,32791,81,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_AiDc23_5NY,9603,7519,7519,21691,614267,182362,2819437,1385355,231,231,64,190,0,41,7519,7603,4078,4577,7486,61,0.012946018,17220,1697,,,4078,7470,5,0,633,77636,27,2001163,70,94444,6,178653,43,0,0,434748,3,0,0,32793,81,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230530_BiDc9S_5PM,8264,6378,6378,21051,559045,199337,3053872,1230898,213,213,74,184,0,29,6378,6453,2711,3342,6370,60,0.0139596281,2069,1305,,,2709,6360,12,0,442,62006,27,1923397,73,61812,13,549209,35,0,0,434748,3,0,0,22700,60,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230530_BiDcPM_5PY,9083,6735,6735,20005,559372,174935,2820031,1395678,216,216,65,181,0,35,6735,6852,4580,4908,6719,62,0.012946018,2282,1285,,,4579,6705,8,0,427,97701,26,2013289,70,67643,11,162773,37,0,0,434748,3,0,0,43877,67,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcT0_5Q5,9386,7245,7245,21360,617855,183577,2815972,1392276,231,231,64,190,0,41,7245,7326,4014,4504,7206,60,0.012946018,2251,1664,,,4013,7197,5,0,446,77637,27,1999641,70,94444,6,178653,43,0,0,434748,3,0,0,30849,81,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230530_BiDcB4_5PH,8718,6861,6861,19763,558473,215991,2836524,1412775,216,216,84,182,0,34,6861,6938,4050,4426,6850,59,0.012946018,2251,1157,,,4049,6834,8,0,445,99764,27,2013287,70,67024,11,179776,37,0,0,434748,3,0,0,41925,67,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230530_BiDcJR_5PX,8670,6961,6961,20162,553358,208676,2819365,1395593,216,216,83,182,0,34,6961,7040,4030,4379,6943,60,0.012946018,2168,1277,,,4030,6931,8,0,448,97707,27,2013289,70,66984,11,162773,37,0,0,434748,3,0,0,43864,67,
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcBW_5Q1,9212,7540,7540,21658,652533,191646,2846971,1402616,235,235,66,194,0,41,7540,7647,4107,4598,7513,61,0.012946018,17995,1618,,,4107,7506,5,0,504,79226,27,2019215,71,94444,6,182521,46,0,0,434748,3,0,0,36817,81,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcXW_5Q6,9762,8169,8169,21524,620892,203630,2832417,1398148,232,232,74,190,0,42,8169,8250,4260,4724,8134,62,0.0136505614,3342,1891,,,4259,8123,5,0,849,77634,27,2014062,70,94444,6,178737,43,0,0,434748,3,0,0,32792,82,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230530_BiDcTC_5PG,8379,7004,7004,20066,554543,213405,2830128,1406375,216,216,84,182,0,34,7004,7098,4116,4458,6991,60,0.012946018,2710,1249,18890,18890,4112,6972,8,0,532,99764,27,2004939,70,67024,11,179776,37,0,0,434748,3,0,0,43877,67,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230530_BiDcCJ_5PV,8592,6418,6418,20238,558116,176579,2796550,1386609,216,216,65,182,0,34,6418,6511,4180,4575,6405,62,0.012946018,2350,1301,,,4180,6387,8,0,443,97709,27,1990467,70,66984,11,162773,37,0,0,434748,3,0,0,43869,67,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcQK_5Q7,8763,7175,7175,20946,617825,195475,2830459,1395819,231,231,70,190,0,41,7175,7262,3736,4181,7135,61,0.012946018,2861,1554,,,3735,7122,5,0,527,77636,27,2014055,70,94444,6,178737,43,0,0,434748,3,0,0,30839,81,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230530_BiDcES_5PW,9892,6720,6720,21310,560807,173405,2820024,1395670,216,216,65,182,0,34,6720,6828,4426,4855,6704,61,0.012946018,2108,1227,,,4424,6694,8,0,455,97702,27,2013290,70,67643,11,162773,37,0,0,434748,3,0,0,43868,67,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230530_BiDcXW_5Q4,8595,6878,6878,20210,619259,193210,2819536,1384429,231,231,67,190,0,41,6878,6961,3802,4271,6844,62,0.0136505614,15990,1437,19140,19140,3802,6835,5,0,450,77638,27,2001183,70,94444,6,178737,43,0,0,434748,3,0,0,32786,81,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230530_BiDc60_5PN,8570,6652,6652,22302,559426,190613,3047236,1223653,213,213,71,184,0,29,6652,6737,2638,3270,6638,59,0.0227894812,2514,1227,,,2638,6628,12,0,500,62005,27,1915362,73,61269,13,549209,35,0,0,434748,3,0,0,24643,60,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230530_BiDcT2_5PR,7989,5933,5933,19692,564838,195025,3045299,1223009,213,213,73,184,0,29,5933,6000,3387,3903,5921,58,0.0133693621,2460,1386,,,3387,5904,12,0,501,62007,27,1915362,73,61269,13,549209,35,0,0,434748,3,0,0,22704,60,
https://www.samsung.com/au/,https://www.webpagetest.org/results.php?test=230530_BiDcYC_5PP,8893,6495,6495,21597,555664,184177,3047257,1223648,213,213,70,184,0,29,6495,6606,2813,3389,6483,58,0.0139596281,2304,1284,,,2811,6475,12,0,440,62004,27,1915389,73,61269,13,549209,35,0,0,434748,3,0,0,24638,60,
