url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc5S_5NE,3566,8488,8488,11945,429625,319993,2166048,1661178,175,175,133,115,0,60,8488,8556,4336,4667,8472,52,0.2257448082,2461,1391,,,4334,8459,7,0,498,96648,16,1084262,36,58947,8,439869,63,0,0,434748,3,0,0,51574,49,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcJH_5NM,5108,11172,11172,16419,603156,504417,2831433,2462935,235,235,195,162,0,73,11172,11197,3793,4802,11118,69,0.012946018,2348,1303,,,3793,11110,14,0,446,57735,21,1325853,61,67690,15,234915,73,0,0,434748,3,698876,1,11616,60,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc6M_5NQ,4918,10996,10996,18015,716018,468863,3141066,2675197,275,275,182,196,2,77,10996,11058,4324,4913,10982,86,0.2257448082,2310,1366,16548,16548,4323,10973,7,0,498,708398,31,1528993,80,68886,8,345558,78,0,0,434748,3,0,0,54483,75,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc8K_5N6,4753,11529,11529,18653,716804,466205,3139726,2673885,278,278,185,196,2,80,11529,11577,4423,4985,11509,87,0.2257448082,2298,1411,17099,17099,4423,11496,7,0,450,708386,31,1528965,80,68886,8,345642,78,0,0,434748,3,0,0,53099,78,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc8M_5NJ,3030,8502,8502,11681,419272,294921,2176354,1671234,175,175,123,113,0,62,8502,8564,4400,4605,8475,52,0.2257448082,2877,1588,,,4400,8466,7,0,875,96645,16,1084534,36,68926,8,439869,63,0,0,434748,3,0,0,51632,49,
https://www.samsung.com/uk/smartphones/galaxy-s23/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc31_5NP,8961,14013,14013,25857,930498,572142,3289050,2335740,312,312,189,234,0,78,14013,14029,3326,4127,13972,93,0.0662837483,1874,1272,23994,23994,3326,13962,4,0,474,69122,31,1957791,93,139958,5,534131,96,0,0,434748,3,0,0,153300,84,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc90_5P0,4526,10749,10749,14910,606395,507467,2764237,2395957,234,234,194,163,0,71,10749,10778,3687,4541,10718,69,0.012946018,1911,1263,,,3687,10712,14,0,422,57743,21,1325651,61,59905,15,248995,73,0,0,434748,3,625580,1,11615,59,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcR2_5P1,4417,10712,10712,15658,605350,506422,2837225,2468838,236,236,196,162,0,74,10712,10739,3828,4721,10654,71,0.012946018,1865,1439,,,3827,10642,14,0,545,57733,21,1325756,61,59509,15,248995,73,0,0,434748,3,698876,1,11608,61,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcYT_5NA,3311,8869,8869,12559,432163,322308,2167976,1663249,175,175,132,114,0,61,8869,8927,4420,4856,8853,52,0.2257448082,2428,1394,,,4420,8842,7,0,473,96648,16,1084072,36,61141,8,439785,63,0,0,434748,3,0,0,51582,49,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDcVP_5NJ,7179,13819,13819,25771,825727,517941,2886659,2305353,290,290,183,214,0,76,13819,13861,3648,4427,13777,85,0.0275035549,1932,1697,,,3648,13767,4,0,681,67668,31,1563270,85,88025,4,568422,90,0,0,434748,3,0,0,164526,77,
https://www.samsung.com/uk/smartphones/galaxy-s23/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc20_5N9,4773,11498,11498,18523,712970,462377,2830030,2364068,275,275,182,196,1,78,11498,11548,4335,4896,11487,87,0.2257448082,2499,1571,16959,16959,4334,11486,7,0,785,399010,30,1528614,80,68886,8,345642,78,0,0,434748,3,0,0,53130,76,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_BiDc4K_5NG,7325,13599,13599,21084,843527,534646,2841182,2300956,293,293,187,215,0,78,13599,13636,3631,4346,13551,86,0.0275035549,1912,1580,,,3631,13540,4,0,448,67668,31,1563242,85,95810,4,527379,90,0,0,434748,3,0,0,152335,80,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc9S_5N4,3554,8549,8549,11708,413958,292681,2151100,1655310,171,171,121,112,0,59,8549,8613,4343,4707,8526,52,0.2257448082,2520,1351,,,4343,8514,7,0,462,96646,16,1084092,36,61141,8,430456,60,0,0,434748,3,0,0,44017,48,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc2B_5NF,3147,8065,8065,11649,423404,309782,2166225,1661560,173,173,128,115,0,58,8065,8121,4085,4400,8047,50,0.2257448082,2392,1297,,,4083,8036,7,0,490,96648,16,1084095,36,61141,8,439474,62,0,0,434748,3,0,0,50119,48,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc5G_5NG,3701,9370,9370,12742,428920,349952,2168044,1664199,175,175,143,112,0,63,9370,9444,4546,4940,9353,52,0.2257448082,2573,1395,,,4546,9339,7,0,463,96654,16,1084203,36,61141,8,439785,63,0,0,434748,3,0,0,51513,49,
https://www.samsung.com/uk/smartphones/galaxy-s23-ultra/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcB3_5NR,3047,8370,8370,12174,421466,327639,2167827,1663374,173,173,138,113,0,60,8370,8409,3769,4026,8356,52,0.2257448082,2283,1359,,,3769,8341,7,0,486,96649,16,1084093,36,61141,8,439768,62,0,0,434748,3,0,0,51428,48,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDcVG_5NS,4486,11202,11202,16064,595154,496211,2845494,2477099,237,237,197,162,0,75,11202,11244,3552,3954,11157,67,0.0132127077,2675,1655,,,3552,11151,14,0,590,57741,21,1327468,61,67690,15,248970,74,0,0,434748,3,698876,1,10001,61,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=230530_AiDc8G_5N7,4364,9918,9918,14100,608899,490702,2843828,1758536,233,233,190,163,0,70,9918,9936,3562,4435,9872,71,0.012946018,1631,1268,,,3562,9863,14,0,447,57736,21,1325834,61,67690,15,248953,72,0,0,434748,3,698876,1,9991,59,
