url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDc6X_RJ,12780,14188,14188,50621,1371397,653938,8935954,5861869,448,448,190,414,0,34,14188,14675,12489,13222,14188,83,0.6918045382,6069,3373,29391,29391,12489,14186,16,3,600,98018,35,3152516,166,178122,16,4498600,168,0,0,143708,5,0,0,864990,58,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc0J_V9,13206,12638,12638,42931,1555528,625046,8696589,4956000,490,490,182,445,0,45,12638,13079,11070,11774,12638,81,0.375255608,3858,2613,29624,29624,11070,12629,16,3,514,99476,36,3141890,179,183447,17,4253904,181,0,0,143708,5,0,0,874164,72,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc5G_V8,13124,15587,15587,68305,1645815,695384,9693548,5866929,521,521,200,468,0,53,15587,16177,13592,14352,15587,86,0.34951358930000004,5551,3262,30014,30014,13592,15575,16,3,435,100315,44,3232053,185,183447,17,5159492,192,0,0,143708,5,0,0,874533,77,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDc4A_RG,13279,14438,14438,60626,1629570,622295,8786732,4956285,513,513,182,464,0,49,14438,14988,12234,13083,14437,87,0.3486670667,5712,2917,30042,30042,12234,14427,16,3,783,98732,39,3231909,185,183447,17,4254116,186,0,0,143708,5,0,0,874820,81,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDcGG_RK,12747,14743,14743,49186,1631761,742068,9601900,5866546,499,499,198,452,0,47,14743,15269,12897,13629,14743,84,0.3668974711,5562,3192,29530,29530,12897,14732,16,3,532,99438,35,3141800,179,183447,17,5159375,189,0,0,143708,5,0,0,874132,74,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc02_V6,12314,12901,12901,45895,1559845,631847,8696314,4955979,493,493,185,445,0,48,12901,13349,11339,11919,12901,84,0.3767752692,3907,2703,29605,29605,11339,12894,16,3,640,99486,35,3141716,179,183447,17,4253894,183,0,0,143708,5,0,0,874063,74,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDcHR_RH,12007,15077,15077,48422,1575480,673989,9601794,5866390,498,498,195,452,0,46,15077,15589,12861,13476,15076,84,0.3714564548,12193,3610,29902,29902,12861,15066,16,3,848,99479,36,3141778,179,183447,17,5159375,188,0,0,143708,5,0,0,874007,73,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc6H_V5,12641,14206,14206,48208,1622147,690055,9604715,5866698,516,516,202,462,0,54,14206,14729,12368,13075,14206,90,0.3668192782,5193,3368,29788,29788,12368,14198,16,3,675,101672,38,3141884,179,183447,17,5159788,198,0,0,143708,5,0,0,874216,79,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDc6W_RM,11360,12448,12448,54537,1612526,636999,8786846,4956672,509,509,186,461,0,48,12448,12947,10999,11557,12448,87,0.6918045382,4854,3023,27092,27092,10999,12440,16,3,872,98806,38,3231986,185,183447,17,4254046,185,0,0,143708,5,0,0,874853,79,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcVZ_V7,12725,14440,14440,55495,1718251,750258,9695906,5869345,517,517,198,469,0,48,14440,14903,12761,13411,14438,86,0.46423951500000005,5947,3402,29805,29805,12761,14425,16,3,740,100318,41,3234143,185,183447,17,5159501,191,0,0,143708,5,0,0,874789,78,
