url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB, html_bytes, html_request, js_bytes, js_request, css_bytes, css_request, image_bytes, image_request, flash_bytes, flash_request, fort_bytes, font_request, video_bytes, video_request, other_bytes, other_request
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc4K_VC,10712,2739,2739,34961,1364236,107446,3628535,430066,433,433,46,386,0,47,2739,2739,2651,2653,2732,86,0.5156468844,6096,2149,29560,29560,2151,2721,0,1,1071,33621,34,2585987,195,37563,27,512302,90,0,0,233056,6,0,0,226006,81,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcQP_VH,13290,2751,2751,48332,1427671,107416,3722527,430055,457,457,46,405,0,52,2751,2751,2701,2701,2751,92,0.5343090302,6361,1840,29651,29651,2339,2738,0,1,1085,34887,40,2678418,202,37563,27,512471,95,0,0,233056,6,0,0,226132,87,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcAA_VG,13944,2767,2767,45099,1409219,107446,3719815,430062,452,452,46,400,0,52,2767,2773,2707,2709,2766,93,0.5295618351,6195,2019,29864,29864,2336,2757,0,1,937,34860,38,2676218,201,37563,27,512418,95,0,0,233056,6,0,0,225700,85,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcGY_VJ,11013,2640,2640,35171,1357483,107446,3627837,430038,433,433,46,384,0,49,2640,2640,2594,2594,2633,91,0.5974720316,6214,2029,29943,29943,2163,2632,0,1,1081,33633,34,2585873,195,37563,27,512259,89,0,0,233056,6,0,0,225453,82,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc90_VE,12808,3222,3222,48626,1416259,107449,3720136,430066,451,451,46,400,0,51,3222,3222,3149,3149,3220,92,0.5397032018000001,6681,2578,29165,29165,2297,3204,0,1,1429,34893,39,2676502,201,37563,27,512402,94,0,0,233056,6,0,0,225720,84,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDc9Q_VB,11610,3231,3231,38718,1358526,107446,3627714,430068,432,432,46,385,0,47,3231,3232,3147,3152,3224,89,0.5460129189,7024,2420,29961,29961,2763,3224,0,1,1364,33670,35,2585867,195,37563,27,512303,90,0,0,233056,6,0,0,225255,79,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDcQQ_RP,11426,6923,6923,42420,1389860,346327,3671439,896933,443,443,112,395,0,48,6923,6941,2899,2899,6897,88,0.528256211,6894,2395,30013,30013,2381,6881,0,1,1476,32217,33,2630134,198,37563,27,512324,92,0,0,233056,6,0,0,226145,87,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_BiDcTP_RN,10952,6394,6394,39732,1414374,346519,3646283,896918,460,460,112,412,0,48,6394,6395,2921,2921,6381,90,0.528256211,6069,2371,29941,29941,2349,6371,0,1,1307,33614,53,2604146,197,37563,27,512254,92,0,0,233056,6,0,0,225650,85,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcB8_VD,14103,2662,2662,46231,1410948,107446,3766024,430069,450,450,46,400,0,50,2662,2667,2595,2595,2662,92,0.5001811097,5799,1965,29938,29938,2212,2647,0,1,1079,34859,39,2722432,203,37563,27,512402,93,0,0,233056,6,0,0,225712,82,
https://www.samsung.com/us/televisions-home-theater/tvs/the-frame/55-class-the-frame-qled-4k-smart-tv-2022-qn55ls03bafxza/,https://www.webpagetest.org/results.php?test=230615_AiDcE2_VF,14438,2760,2760,39768,1074580,106072,3611881,429276,388,388,46,349,0,39,2760,2762,2702,2702,2760,85,0.5460129189,6066,2224,,,2363,2747,0,1,1147,29019,34,2594345,183,32238,26,507454,74,0,0,233056,6,0,0,215769,65,
