url, result, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcJC_5G4,25416,25416,39762,983456,528415,3878138,3262716,405,405,209,235,0,170,25416,25487,9091,9712,25333,90,0.0243759155,3023,2330,,,7462,25322,3,0,871,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcPP_5FK,19833,19833,30001,797894,513496,2334325,2147334,342,342,209,177,0,165,19833,19878,6217,6545,19790,73,0,5225,3096,27534,27534,6216,19775,13,0,1033,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc7E_5G7,19081,19081,30175,782496,451218,2294949,2044230,334,334,181,170,0,164,19081,19131,4511,4914,19039,72,0,2782,2165,27055,27055,4509,19027,13,0,1059,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc07_5FQ,26927,26927,36106,824368,561972,3677292,3444793,356,356,232,188,0,168,26927,27006,9577,10111,26838,82,0.0243759155,3742,3007,,,9436,26826,3,0,1362,
https://www.samsung.com/uk/cs_ga3/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcZ7_5GA,19730,19730,33874,907246,412999,2722040,2151229,374,374,161,209,0,165,19730,19784,5752,6196,19694,78,0,4961,2192,31042,31042,5751,19692,13,0,858,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDc53_5GR,19729,19729,30171,799781,501170,2340580,2153512,342,342,204,177,0,165,19729,19777,6058,6400,19690,73,0,5192,3011,26969,26969,6057,19679,13,0,877,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcD5_5FC,20536,20536,31820,882691,531648,2598205,2140553,375,375,217,207,0,168,20536,20706,6286,6765,20531,77,0.0290527344,4454,4067,,,6284,20521,13,0,873,
https://www.samsung.com/uk/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDc6Z_5FQ,20030,20030,30620,882257,508603,2604490,2146902,373,373,203,207,0,166,20030,20074,6200,6561,19993,80,0.0290527344,4409,4075,,,6200,19987,13,0,849,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcKP_5F6,23735,23735,36677,820522,457078,2650580,2419342,350,350,179,181,2,167,23735,23783,6575,6768,23692,76,0.0351104736,5802,2557,30068,30068,6575,23682,6,0,1225,
https://www.samsung.com/uk/ss_ga4/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_BiDcTP_5GQ,19045,19045,30861,800206,441720,2342288,2154812,341,341,175,174,0,167,19045,19103,5761,6126,19001,74,0,4897,2160,25460,25460,5758,18989,13,0,877,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent,https://www.webpagetest.org/results.php?test=221222_AiDcNG_5FX,26136,26136,36392,833574,527776,3678945,3448223,361,361,215,192,0,169,26136,26215,8843,9394,26075,87,0.0243759155,3247,2443,34829,34829,7378,26064,3,0,858,
