url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc9T_1KK,5589,18260,18260,27537,866917,509919,2353949,1878873,357,357,205,193,0,164,18260,18291,4061,4369,18227,71,0.0290527344,2539,1851,,,4061,18211,13,0,861,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcJ0_1KB,6260,18663,18663,28549,901473,467184,2799176,2245565,366,366,180,205,0,161,18663,18704,8649,9240,18611,73,0.0243759155,2629,2048,,,8128,18599,3,0,907,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcP8_1KQ,5942,18320,18320,26866,856913,511852,2358270,1882946,358,358,206,193,0,165,18320,18365,4336,4664,18288,69,0.0290527344,2628,1825,,,4334,18280,13,0,857,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcEW_1KH,10269,21377,21377,31174,868315,432376,2643355,2238150,359,359,161,192,2,165,21377,21409,4300,4552,21341,71,0.0351104736,3411,2315,29321,29321,4298,21334,6,0,860,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcEW_1FK,5982,22978,22978,30376,783578,514051,3171774,3000323,333,333,203,169,0,164,22978,23037,8730,9232,22928,71,0.0243759155,3292,2184,29088,29088,8323,22917,3,0,1027,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcQR_1F9,4248,17646,17646,25095,766961,480841,2085577,1835152,324,324,197,162,0,162,17646,17699,6557,6807,17608,67,0,2714,1741,22494,22494,6556,17593,13,0,857,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcC2_1KJ,9130,20643,20643,30047,870950,434523,2593343,2187867,357,357,163,191,2,164,20643,20698,7774,7989,20609,67,0.0351104736,3223,2294,27850,27850,7773,20598,6,0,880,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc8K_1FQ,4307,18744,18744,25236,781255,510652,2085543,1835083,323,323,206,162,0,161,18744,18774,7539,7820,18727,66,0,2557,1709,23240,23240,7539,18713,13,0,846,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcBZ_1MN,6596,24824,24824,30876,782657,548029,3172559,3001339,336,336,224,171,0,165,24824,24870,8563,9177,24756,74,0.0243759155,2609,1993,,,8370,24743,3,0,859,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcG1_1MG,7245,22571,22571,32869,896086,479824,3477206,2923520,370,370,190,208,0,162,22571,22613,8577,9134,22498,74,0.0243759155,2665,1995,,,8350,22484,3,0,872,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc0N_1G9,8787,24145,24145,31695,787538,510307,3172591,3001318,336,336,206,171,0,165,24145,24203,8611,9083,24064,76,0.0243759155,2644,2004,30005,30005,7582,24057,3,0,846,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcVB_1F3,5890,22468,22468,30275,796698,491783,3173436,2999001,334,334,192,169,0,165,22468,22515,8619,9184,22385,72,0.0243759155,2639,2059,27705,27705,8176,22383,3,0,887,
https://www.samsung.com/uk/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDc68_1FD,8920,22408,22408,30750,860790,531322,2600564,2195723,361,361,212,193,2,166,22408,22453,4035,4250,22368,71,0.0351104736,3327,2391,29505,29505,4034,22355,6,0,914,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc6W_1MH,9870,23524,23524,33172,907861,533335,3478361,2924755,373,373,214,210,0,163,23524,23548,8690,9228,23463,75,0.0243759155,3179,2220,,,7585,23455,3,0,847,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc0Z_1MR,5531,17765,17765,26140,868673,488793,2358443,1882760,358,358,196,193,0,165,17765,17809,4019,4385,17732,71,0.0290527344,4488,1820,,,4019,17723,13,0,845,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc8K_1MP,5953,23995,23995,30287,788966,545600,3128285,2957084,333,333,219,169,0,164,23995,24030,8503,9171,23917,74,0.0243759155,2616,1987,,,7617,23907,3,0,850,
https://www.samsung.com/uk/ss_ga4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc9Z_1M2,4332,17906,17906,25613,787867,487297,2085508,1835053,323,323,194,162,0,161,17906,17958,6944,7215,17867,70,0,2661,2013,22355,22355,6944,17863,13,0,876,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc9E_1MM,5983,22875,22875,30313,790571,510666,3173268,3001879,333,333,202,169,0,164,22875,22925,8820,9334,22811,74,0.0243759155,2597,2004,28656,28656,8154,22802,3,0,866,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_AiDcEH_1F2,10697,22372,22372,32422,880492,467357,2641098,2087727,358,358,182,197,2,159,22372,22415,5823,6000,22325,71,0.0351104736,3337,2133,31415,31415,5821,22313,6,0,925,
https://www.samsung.com/uk/cs_ga3/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcQD_1MB,11379,23673,23673,33751,896513,494359,2641122,2085092,362,362,193,198,2,162,23673,23709,5862,6038,23629,71,0.0351104736,3302,2165,32754,32754,5861,23628,6,0,907,
https://www.samsung.com/uk/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc0G_1KM,5444,17996,17996,26658,868674,496238,2358300,1882934,356,356,198,193,0,163,17996,18028,4075,4401,17967,72,0.0290527344,2415,1921,,,4075,17955,13,0,859,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDc5N_1MK,5965,22437,22437,30128,790907,492813,3127360,2956021,330,330,193,168,0,162,22437,22491,8525,9075,22374,73,0.0243759155,2637,2000,27513,27513,7691,22363,3,0,844,
https://www.samsung.com/uk/ss_ga4/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230104_BiDcX0_1KA,8859,20360,20360,29160,778505,451621,2344284,2172496,327,327,173,160,2,165,20360,20389,3817,4035,20325,67,0.0351104736,3220,2143,25209,25209,3816,20315,6,0,926,
