url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc24_5C3,4612,18084,18084,26654,814549,485204,2197287,1566829,340,340,203,185,0,155,18084,18114,4244,4561,18051,68,0,3028,2209,,,4243,18040,13,0,1192,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc2Q_5E8,6171,22449,22449,32160,875431,490607,3267284,2714509,361,361,197,203,0,158,22449,22490,8862,9471,22368,75,0.0243759155,2964,2396,,,8301,22356,3,0,1224,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcCJ_5BR,4698,17610,17610,25814,824631,476006,2198358,1630193,342,342,194,185,0,157,17610,17648,4613,4886,17569,71,0.0007593632,2832,2125,,,4610,17558,13,0,1217,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc3V_5BY,6338,22964,22964,33225,875209,508235,3265738,2712845,361,361,206,203,0,158,22964,23011,8877,9474,22892,76,0.0243759155,2870,2391,,,8343,22871,3,0,1193,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcWK_5C5,4764,17509,17509,26033,820340,471734,2198358,1566789,341,341,194,185,0,156,17509,17544,4443,4778,17480,70,0,2862,2177,,,4441,17466,13,0,1185,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcJA_5C1,4618,17871,17871,25762,826654,470923,2198344,1566803,340,340,193,185,0,155,17871,17900,4719,5034,17841,69,0,3394,2523,,,4719,17838,13,0,1535,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc8S_5BW,4723,17254,17254,25883,828467,454133,2197316,1566777,341,341,185,185,0,156,17254,17289,5820,6147,17221,69,0,3088,2095,,,5819,17211,13,0,1240,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc12_5BX,9479,24747,24747,34642,857652,500057,3262938,2710069,357,357,206,200,0,157,24747,24801,9334,9937,24667,78,0.0243759155,2982,2533,,,8172,24659,3,0,1188,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcN0_5C4,9521,24513,24513,34446,885791,509471,3265671,2712849,362,362,206,203,0,159,24513,24568,9247,9863,24433,78,0.0243759155,2889,2518,,,8224,24419,3,0,1191,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcKB_5C2,4795,17445,17445,25912,833355,481193,2198344,1566837,342,342,197,185,0,157,17445,17477,4333,4646,17426,70,0,3015,2147,,,4333,17411,13,0,1190,
https://www.samsung.com/uk/no_ga/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc2H_5BT,4299,17101,17101,25398,819868,458982,2198319,1566758,340,340,192,185,0,155,17101,17143,4476,4765,17069,71,0,2986,2100,,,4474,17054,13,0,1192,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcH0_5C0,10372,22635,22635,31905,849479,467668,2451443,1897518,350,350,187,191,2,157,22635,22665,6244,6470,22591,71,0.0351104736,3546,2493,30973,30973,6244,22579,6,0,1222,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcKT_5BV,10001,21638,21638,31290,858404,449500,2450207,1897226,350,350,175,191,2,157,21638,21694,7674,7895,21595,70,0.0351104736,3577,2494,,,7670,21582,6,0,1204,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDc9H_5BZ,10976,24301,24301,36860,850911,488301,2452252,1894608,351,351,195,191,2,158,24301,24345,6405,6580,24266,72,0.0351104736,4126,3048,32551,32551,6405,24260,6,0,1826,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_BiDcPS_5BS,9357,21772,21772,31159,867986,468244,2452035,1897386,350,350,181,191,2,157,21772,21810,8149,8409,21734,72,0.0351104736,3614,2470,30340,30340,8140,21720,6,0,1206,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDc60_5E9,6364,22326,22326,32547,863650,498766,3262680,2710049,358,358,202,200,0,158,22326,22374,8702,9255,22256,76,0.0243759155,3410,2375,,,8002,22252,3,0,1190,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcC4_5DX,8075,23846,23846,33732,879200,494194,3265640,2710023,362,362,199,203,0,159,23846,23892,9145,9826,23772,79,0.0243759155,3561,2414,,,8897,23765,3,0,1231,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/?cookie=consent&akamai_a2=off,https://www.webpagetest.org/results.php?test=230105_AiDcYV_5E7,6652,23691,23691,37163,889369,517712,3265605,2712708,361,361,206,203,0,158,23691,23740,9284,9906,23616,78,0.0243759155,3816,2643,34245,34245,8654,23603,3,0,1466,
