url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDcS9_4N1,8870,23492,23492,37463,964907,490323,3614782,2691588,393,393,201,227,0,166,23492,23541,8779,9374,23415,83,0.0243759155,2912,2374,,,8610,23400,3,0,1183,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDcSK_4MS,9772,21405,21405,36204,945339,487921,2811595,1884662,382,382,199,215,2,165,21405,21447,4195,4375,21371,75,0.0351104736,3513,2398,35108,35108,4195,21358,6,0,1184,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_AiDcSC_4MT,12118,23789,23789,38611,954433,499753,2820626,1897500,383,383,202,215,2,166,23789,23820,6195,6391,23756,77,0.0351104736,3683,2452,,,6193,23746,6,0,1193,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_BiDcDG_4KE,7710,23423,23423,39038,981145,513854,3614999,2688828,392,392,206,227,0,165,23423,23465,8960,9546,23355,85,0.0243759155,3372,2368,37636,37636,8438,23353,3,0,1212,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDcZ9_4K9,5865,18805,18805,27772,825124,472503,2197180,1566794,340,340,192,185,0,155,18805,18851,6024,6416,18771,70,0,3225,2414,,,6024,18758,13,0,1475,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDcMG_4N0,7300,23028,23028,36935,968705,520658,3615045,2691689,393,393,212,227,0,166,23028,23077,8660,9306,22951,85,0.0243759155,2941,2377,,,8167,22937,3,0,1204,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDc0D_4K6,4686,18501,18501,27160,808876,474891,2197118,1566700,340,340,198,185,0,155,18501,18536,5425,5771,18467,69,0,2883,2122,,,5421,18450,13,0,1208,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDcKC_4K5,5674,17865,17865,27309,819766,468151,2198838,1566674,340,340,193,185,0,155,17865,17900,4735,5130,17830,71,0,3263,2147,,,4734,17815,13,0,1202,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDcPX_4K4,5061,17957,17957,26588,826974,464369,2197477,1566736,342,342,191,185,0,157,17957,17985,4868,5235,17916,71,0,5540,2567,,,4865,17906,13,0,1542,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_BiDcYD_4KA,10530,22898,22898,37408,960021,481558,3616476,2691593,391,391,196,227,0,164,22898,22954,9131,9654,22823,82,0.0243759155,2958,2311,,,8054,22813,3,0,1183,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDcSA_4K8,4659,18644,18644,26424,809005,490519,2197488,1566820,340,340,208,185,0,155,18644,18676,4493,4782,18613,72,0,4903,2055,,,4490,18604,13,0,1181,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_BiDcXD_4KF,12180,23064,23064,38840,954222,498682,2820883,1897466,382,382,199,215,2,165,23064,23095,4553,4767,23022,75,0.0351104736,3698,2485,37724,37724,4548,23014,6,0,1193,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_BiDcWE_4KC,10673,21888,21888,39696,947975,485519,2820527,1897363,381,381,194,215,2,164,21888,21920,6048,6214,21853,77,0.0351104736,3532,2415,35062,35062,6048,21837,6,0,1209,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_BiDcTG_4KD,11618,20353,20353,34889,948360,412362,2820060,1896045,379,379,159,213,2,164,20353,20406,5964,6193,20306,73,0.0351104736,3612,2463,33652,33652,5964,20296,6,0,1192,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_BiDcFJ_4K7,4297,17823,17823,25970,813283,481140,2194483,1564055,340,340,201,185,0,155,17823,17864,4330,4608,17787,70,0,4308,2172,,,4328,17779,13,0,1191,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/,https://www.webpagetest.org/results.php?test=230105_BiDcYD_4KB,10086,21750,21750,36182,957905,481485,2820564,1897382,384,384,192,215,2,167,21750,21792,6024,6237,21712,76,0.0351104736,3596,2387,35070,35070,6023,21704,6,0,1209,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc89_4MM,8150,23519,23519,40160,946579,502383,3612710,2687839,386,386,207,221,0,165,23519,23570,8843,9349,23501,82,0.0243759155,3187,2519,38117,38117,8659,23495,3,0,1313,
https://www.samsung.com/uk/no_ga/,https://www.webpagetest.org/results.php?test=230105_AiDc8S_4MQ,4854,16913,16913,25912,815278,444832,2196403,1565971,337,337,181,183,0,154,16913,16942,4749,5095,16886,69,0,2726,2225,,,4745,16871,13,0,1176,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc2K_4N2,7097,22331,22331,38537,967566,501833,3614049,2691606,388,388,200,224,0,164,22331,22367,8841,9381,22259,82,0.0243759155,2967,2354,,,8295,22250,3,0,1188,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc10_4MX,7674,20281,20281,37465,954518,493873,2937086,2013631,390,390,205,224,0,166,20281,20319,8958,9524,20212,83,0.0243759155,4443,2320,33728,33728,8724,20202,3,0,1203,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc36_4MY,7570,23535,23535,37829,969867,519603,3615121,2691604,391,391,210,227,0,164,23535,23571,9269,9859,23504,83,0.0243759155,3914,2679,,,8788,23494,3,0,1505,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDcHQ_4MZ,10771,24419,24419,39255,967142,505621,3614775,2691645,393,393,208,227,0,166,24419,24471,9227,9820,24348,83,0.0243759155,3348,2606,,,8241,24333,3,0,1200,
https://www.samsung.com/uk/no_ga/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230105_AiDc58_4MN,10902,24170,24170,38736,961374,512843,3614864,2688918,391,391,215,227,0,164,24170,24221,9040,9595,24087,82,0.0243759155,2966,2352,,,8032,24079,3,0,1192,
