url, result, TBT, loadtime, docTime, fullyLoaded, bytesOut, bytesOutDoc, bytesIn, bytesInDoc, requests, requestaFull, requestsDoc, responses_200, responses_404, responses_other, chromeUserTiming.loadEventStart, chromeUserTiming.loadEventEnd, chromeUserTiming.domContentLoadedEventStart, chromeUserTiming.domContentLoadedEventEnd, chromeUserTiming.domComplete, connections,chromeUserTiming.CumulativeLayoutShift, chromeUserTiming.LargestContentfulPaint, chromeUserTiming.firstContentfulPaint, FirstInteractive, TimeToInteractive, chromeUserTiming.domInteractive, domComplete, renderBlockingCSS, renderBlockingJS, TTFB
https://www.samsung.com/au/smartphones/galaxy-s23/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcD7_5WQ,14469,15106,15106,41179,677739,203502,2888703,1398852,249,249,75,201,0,48,15106,15214,9176,9825,15062,69,0.39778645830000003,12353,2589,,,9176,15045,4,1,1166,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_AiDc4A_5WS,12542,13125,13125,38072,683091,182044,2811004,1369620,260,260,67,208,0,52,13125,13230,7251,7894,13077,67,0.39778645830000003,3395,2036,28420,,7251,13060,4,1,827,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_AiDc6Z_5WT,12664,13874,13874,39639,682983,239519,2811103,1366936,260,260,92,208,0,52,13874,13961,7308,7911,13830,65,0.0518798828,3838,2119,28680,,7308,13828,4,1,841,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_AiDc50_5X5,14122,15491,15491,42383,666860,159734,2893651,1407682,247,247,56,200,0,47,15491,15592,9205,9836,15454,70,0.39778645830000003,12184,3638,31397,,9205,15442,4,1,2366,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/,https://www.webpagetest.org/results.php?test=230206_AiDc5G_5X1,9648,10772,10772,35796,598786,154537,2675229,1244737,225,225,58,179,0,46,10772,10916,4036,4264,10759,67,0.0290527344,3460,2042,24831,,4036,10749,7,1,998,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_BiDc13_5W4,12847,14372,14372,40442,657337,156842,2891589,1403050,247,247,56,199,0,48,14372,14481,8348,8965,14341,69,0.39778645830000003,11441,3984,,,8348,14333,4,1,865,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcPJ_5WG,12650,13263,13263,37831,673807,172561,2811036,1368865,258,258,64,208,0,50,13263,13368,7343,7993,13214,68,0.39778645830000003,3346,2004,,,7343,13203,4,1,842,
https://www.samsung.com/au/smartphones/galaxy-s23/,https://www.webpagetest.org/results.php?test=230206_BiDcTK_5W3,9550,10490,10490,36872,599267,145834,2648923,1218682,226,226,55,179,0,47,10490,10608,3929,4176,10475,67,0.0290527344,3084,1884,26286,,3928,10463,7,1,845,
https://www.samsung.com/au/smartphones/galaxy-z-fold4/buy/,https://www.webpagetest.org/results.php?test=230206_BiDcBD_5WD,12358,13869,13869,37652,686110,240543,2808215,1369646,261,261,93,208,0,53,13869,13981,7186,7837,13827,67,0.375,3694,2100,28842,,7185,13811,4,1,842,
https://www.samsung.com/au/smartphones/galaxy-s23-ultra/buy/,https://www.webpagetest.org/results.php?test=230206_AiDcHK_5WY,13985,14459,14459,41862,664775,164678,2888863,1406565,248,248,59,199,0,49,14459,14567,8185,8772,14423,69,0.39778645830000003,11434,4087,,,8184,14401,4,1,851,
